x,y
476840.45,5116550.05
476840.3616,5116549.9664
476840.2666,5116549.869
476840.1497,5116549.7416
476840.0198,5116549.5895
476839.8861,5116549.418
476839.758,5116549.2322
476839.662,5116549.0722
476839.575,5116548.9115
476839.4207,5116548.6112
476839.3286,5116548.4438
476839.1437,5116548.1245
476839.0599,5116547.9613
476838.9908,5116547.7919
476838.9414,5116547.6125
476838.9085,5116547.4261
476838.8873,5116547.235
476838.8742,5116547.0405
476838.8662,5116546.8439
476838.8532,5116546.2497
476838.8466,5116546.0526
476838.8358,5116545.8572
476838.8183,5116545.6646
476838.7911,5116545.476
476838.7502,5116545.2929
476838.6906,5116545.1175
476838.6108,5116544.9559
476838.5137,5116544.8012
476838.4045,5116544.6511
476838.2877,5116544.5037
476838.0449,5116544.2102
476837.9252,5116544.0609
476837.8109,5116543.9074
476837.7061,5116543.7507
476837.609,5116543.5892
476837.519,5116543.4238
476837.4362,5116543.2551
476837.3615,5116543.0833
476837.2961,5116542.9084
476837.2424,5116542.7301
476837.2031,5116542.5539
476837.1734,5116542.3751
476837.15,5116542.1946
476837.0892,5116541.6492
476837.0636,5116541.468
476837.0348,5116541.3022
476836.9384,5116540.8063
476836.9113,5116540.6402
476836.8883,5116540.4512
476836.872,5116540.2611
476836.8608,5116540.0701
476836.8533,5116539.8784
476836.8454,5116539.4938
476836.8423,5116538.9152
476836.4539,5116537.8737
476836.4142,5116537.2783
476836.5333,5116536.6037
476836.7053,5116536.1539
476836.7714,5116535.929
476836.7979,5116535.7305
476836.8986,5116535.458
476836.9243,5116535.2728
476837.0133,5116534.8016
476837.1613,5116534.1257
476837.1916,5116533.9366
476837.2133,5116533.7451
476837.2284,5116533.5518
476837.2388,5116533.3573
476837.2502,5116532.9656
476837.2552,5116532.3748
476837.256,5116530.201
476837.2677,5116528.4193
476837.2669,5116528.0249
476837.2573,5116527.6342
476837.2461,5116527.4415
476837.228,5116527.2517
476837.2002,5116527.0659
476837.1588,5116526.8858
476837.0988,5116526.7133
476837.0205,5116526.5572
476836.9251,5116526.4081
476836.8172,5116526.2642
476836.7005,5116526.1238
476836.5778,5116525.9858
476836.1955,5116525.5763
476836.0694,5116525.4383
476835.9473,5116525.2981
476835.8312,5116525.1545
476835.7239,5116525.0061
476835.6321,5116524.8594
476835.5496,5116524.7083
476835.4753,5116524.5543
476835.4228,5116524.4314
476835.3777,5116524.306
476835.3317,5116524.1308
476835.3,5116523.9504
476835.2786,5116523.7663
476835.2641,5116523.5796
476835.229,5116522.8237
476835.2155,5116522.6357
476835.1955,5116522.4495
476835.1662,5116522.2661
476835.1239,5116522.0863
476835.0659,5116521.912
476834.9948,5116521.7415
476834.914,5116521.5739
476834.8261,5116521.4087
476834.7333,5116521.2452
476834.3425,5116520.5997
476834.2486,5116520.4361
476834.1641,5116520.2697
476834.0944,5116520.0986
476834.0455,5116519.929
476834.011,5116519.7544
476833.9874,5116519.5761
476833.9717,5116519.3951
476833.9615,5116519.2121
476833.9551,5116519.0279
476833.9439,5116518.4729
476833.9304,5116518.1055
476833.9176,5116517.9243
476833.8981,5116517.7456
476833.8696,5116517.5705
476833.8288,5116517.4
476833.7733,5116517.2333
476833.6435,5116516.9051
476833.5108,5116516.5488
476833.4384,5116516.3721
476833.36,5116516.1959
476833.2771,5116516.0201
476833.1909,5116515.8447
476833.0108,5116515.4954
476832.822,5116515.1498
476832.7237,5116514.9794
476832.1668,5116514.4108
476832.0081,5116514.2256
476831.4727,5116513.7534
476831.3202,5116513.5377
476831.135,5116513.3261
476830.963,5116513.1541
476830.791,5116513.0086
476830.3677,5116512.8366
476829.8714,5116512.7015
476829.5354,5116512.0241
476829.7062,5116510.6008
476829.5277,5116510.2586
476829.0183,5116509.7409
476828.542,5116509.2647
476828.0795,5116508.9858
476827.1263,5116508.8004
476826.9538,5116508.7438
476826.7766,5116508.6969
476826.5963,5116508.6562
476826.0489,5116508.5463
476825.8677,5116508.5062
476825.6888,5116508.4609
476825.2268,5116508.3255
476825.063,5116508.2856
476824.5657,5116508.1806
476824.09,5116508.0676
476823.9299,5116508.0357
476823.7527,5116508.0094
476823.5738,5116507.9905
476823.3935,5116507.9771
476822.667,5116507.9458
476822.3055,5116507.9238
476822.1266,5116507.9056
476821.9496,5116507.8797
476821.7754,5116507.8433
476821.6017,5116507.7932
476821.4311,5116507.7319
476821.2632,5116507.662
476821.0976,5116507.5856
476820.9344,5116507.504
476820.7736,5116507.4184
476820.4423,5116507.2351
476820.2758,5116507.1503
476820.1059,5116507.0771
476819.9718,5116507.0317
476819.8352,5116506.9941
476819.6969,5116506.9621
476819.4255,5116506.9093
476819.2464,5116506.884
476819.0646,5116506.8659
476818.8809,5116506.8529
476817.9549,5116506.8091
476817.442,5116506.7719
476817.0519,5116506.7566
476816.6583,5116506.7498
476815.8664,5116506.7468
476807.7339,5116506.7527
476807.1402,5116506.7485
476806.7463,5116506.7394
476806.5504,5116506.7312
476806.3556,5116506.7195
476806.1623,5116506.7029
476805.9709,5116506.6799
476805.6265,5116506.6264
476805.4448,5116506.6045
476805.2613,5116506.5887
476805.0764,5116506.5774
476804.7038,5116506.564
476803.5813,5116506.5448
476803.2123,5116506.5268
476803.0306,5116506.5111
476802.8517,5116506.4886
476802.6765,5116506.457
476802.5064,5116506.4135
476802.3517,5116506.3602
476802.048,5116506.24
476801.4561,5116505.9432
476800.8686,5116505.7332
476800.3978,5116505.7977
476799.8157,5116505.7712
476799.4186,5116505.7951
476798.4795,5116505.5198
476797.7366,5116505.1638
476797.0941,5116504.046
476795.5956,5116502.2244
476794.0417,5116501.329
476792.1824,5116501.0973
476791.5167,5116500.9606
476790.0234,5116500.7322
476789.1979,5116500.5893
476788.0355,5116500.3708
476787.4676,5116500.2559
476787.1342,5116500.1766
476786.09,5116500.0941
476785.9322,5116500.0322
476785.7697,5116499.9819
476785.2744,5116499.8499
476785.1133,5116499.7963
476784.9683,5116499.7368
476784.6839,5116499.6043
476784.5404,5116499.5411
476784.3933,5116499.4867
476784.2239,5116499.4414
476784.049,5116499.4095
476783.8698,5116499.3877
476783.6875,5116499.3735
476783.317,5116499.3596
476782.3795,5116499.3514
476782.1934,5116499.3461
476782.0091,5116499.3365
476781.8272,5116499.321
476781.6487,5116499.297
476781.4748,5116499.2614
476781.3071,5116499.2103
476781.1623,5116499.1481
476781.0221,5116499.074
476780.8848,5116498.9919
476780.3898,5116498.6755
476780.2798,5116498.6017
476780.1319,5116498.4939
476779.9869,5116498.3805
476779.5559,5116498.0295
476779.4095,5116497.9157
476778.984,5116497.6015
476778.8349,5116497.481
476778.6894,5116497.3552
476778.4053,5116497.0928
476778.1268,5116496.8222
476777.4362,5116496.1383
476777.156,5116495.872
476777.0134,5116495.7432
476776.8682,5116495.6191
476776.7196,5116495.5011
476776.4709,5116495.3226
476776.1911,5116495.1307
476776.049,5116495.0411
476775.9036,5116494.9596
476775.7626,5116494.8916
476775.4757,5116494.7637
476775.3486,5116494.7014
476775.2234,5116494.634
476775.1007,5116494.5611
476774.9548,5116494.4652
476774.5293,5116494.1576
476774.3865,5116494.0583
476774.2404,5116493.9657
476774.0893,5116493.8836
476773.9744,5116493.8316
476773.8565,5116493.7848
476773.2132,5116493.5531
476772.8625,5116493.4181
476772.5226,5116493.2702
476772.1878,5116493.1089
476772.0224,5116493.0237
476771.8588,5116492.9352
476771.6983,5116492.8439
476771.3821,5116492.6527
476771.0716,5116492.4527
476770.9187,5116492.3494
476770.7677,5116492.2435
476770.6193,5116492.1345
476770.474,5116492.0214
476770.3227,5116491.895
476770.1748,5116491.7642
476769.886,5116491.4942
476769.6022,5116491.2179
476768.8996,5116490.5181
476768.3443,5116489.9534
476768.0753,5116489.6658
476767.9457,5116489.5191
476767.821,5116489.3693
476767.7033,5116489.2154
476767.6038,5116489.0717
476767.3252,5116488.635
476767.2369,5116488.4911
476767.1543,5116488.3453
476767.0808,5116488.196
476767.0194,5116488.0435
476766.912,5116487.7307
476766.855,5116487.5744
476766.795,5116487.4323
476766.7277,5116487.2927
476766.6536,5116487.1557
476766.5729,5116487.0218
476766.4854,5116486.8914
476766.3711,5116486.7393
476766.249,5116486.5919
476766.1212,5116486.448
476765.8549,5116486.1667
476765.308,5116485.614
476765.0415,5116485.3352
476764.9139,5116485.1933
476764.7926,5116485.0487
476764.68,5116484.9001
476764.5794,5116484.7462
476764.495,5116484.5849
476764.4343,5116484.4276
476764.3874,5116484.2641
476764.3501,5116484.0962
476764.319,5116483.9255
476764.2338,5116483.4089
476764.1991,5116483.2392
476764.1562,5116483.0728
476764.1017,5116482.9112
476764.0365,5116482.7625
476763.9611,5116482.6181
476763.8791,5116482.4766
476763.6256,5116482.0564
476763.549,5116481.9139
476763.4824,5116481.7732
476763.3566,5116481.49
476763.2134,5116481.1947
476763.1457,5116481.0458
476763.0876,5116480.8929
476763.0405,5116480.7207
476763.0071,5116480.5429
476762.9836,5116480.3609
476762.9669,5116480.1762
476762.9201,5116479.4282
476762.9027,5116479.2432
476762.8782,5116479.0607
476762.8437,5116478.882
476762.7955,5116478.7084
476762.7363,5116478.5534
476762.667,5116478.4022
476762.518,5116478.1034
476762.4479,5116477.9522
476762.3874,5116477.7973
476762.336,5116477.6191
476762.2987,5116477.4353
476762.2719,5116477.2476
476762.2527,5116477.0568
476762.2392,5116476.8639
476762.2228,5116476.474
476762.2093,5116475.6868
476762.1914,5116473.3164
476762.1773,5116472.7279
476762.1675,5116472.5339
476762.1531,5116472.3419
476762.1321,5116472.1526
476762.102,5116471.9672
476762.0591,5116471.7871
476761.9989,5116471.6143
476761.9191,5116471.4523
476761.8234,5116471.2968
476761.7173,5116471.1456
476761.3829,5116470.6973
476761.2799,5116470.5433
476761.1887,5116470.3835
476761.1247,5116470.2455
476761.0695,5116470.1034
476761.0203,5116469.9585
476760.8929,5116469.5372
476760.8033,5116469.2189
476760.7541,5116469.0619
476760.6959,5116468.9084
476760.618,5116468.7454
476760.529,5116468.5868
476760.2443,5116468.118
476760.1596,5116467.9579
476760.0889,5116467.7926
476760.0351,5116467.6131
476759.9983,5116467.4275
476759.9743,5116467.2374
476759.9602,5116467.0443
476759.954,5116466.8492
476759.9544,5116466.6533
476759.9611,5116466.4572
476759.9743,5116466.2619
476759.995,5116466.0682
476760.0248,5116465.877
476760.0661,5116465.6896
476760.1085,5116465.5427
476760.2019,5116465.2524
476760.2434,5116465.1058
476760.2809,5116464.9297
476760.3068,5116464.7507
476760.3226,5116464.57
476760.3293,5116464.3887
476760.3268,5116464.208
476760.3144,5116464.029
476760.2904,5116463.8531
476760.252,5116463.682
476760.1954,5116463.5176
476760.1155,5116463.3582
476760.0179,5116463.2059
476759.9076,5116463.0586
476759.7891,5116462.9145
476759.4176,5116462.4885
476759.2989,5116462.3444
476759.1882,5116462.197
476759.0898,5116462.0446
476759.0087,5116461.8849
476758.9481,5116461.7138
476758.9058,5116461.5351
476758.8768,5116461.351
476758.8575,5116461.1627
476758.8451,5116460.9717
476758.8375,5116460.7785
476758.831,5116460.3886
476758.8302,5116459.9962
476759.1646,5116459.3296
476760.0318,5116457.9086
476760.7069,5116457.5039
476761.6462,5116456.4853
476762.0033,5116455.8371
476762.4796,5116455.3079
476762.8632,5116454.8316
476763.4189,5116453.7336
476763.6702,5116452.662
476763.6967,5116451.9741
476763.7628,5116450.9158
476763.7893,5116450.0824
476763.9083,5116449.2357
476764.4243,5116447.635
476764.6227,5116446.4179
476764.5963,5116445.849
476763.485,5116444.8171
476762.7812,5116444.5172
476761.8975,5116443.1238
476760.4026,5116440.0414
476760.1696,5116439.3358
476759.5427,5116438.401
476758.9053,5116437.21
476758.405,5116435.7022
476758.3555,5116435.3719
476757.7634,5116434.3459
476757.7589,5116433.9478
476757.7527,5116433.7503
476757.7423,5116433.5544
476757.7258,5116433.3608
476757.7006,5116433.1705
476757.6633,5116432.9846
476757.6097,5116432.8048
476757.5476,5116432.656
476757.4739,5116432.5113
476757.3926,5116432.3691
476757.1378,5116431.9428
476757.06,5116431.7959
476756.9858,5116431.6332
476756.9194,5116431.4662
476756.8582,5116431.296
476756.6306,5116430.6095
476756.4518,5116430.101
476756.3213,5116429.7681
476756.1124,5116429.2913
476756.0433,5116429.1408
476755.9696,5116428.9931
476755.88,5116428.8335
476755.6894,5116428.5188
476755.5948,5116428.3563
476755.5036,5116428.1913
476755.3306,5116427.8558
476755.2493,5116427.6859
476755.1721,5116427.5148
476755.1001,5116427.3427
476754.9586,5116426.9833
476754.8888,5116426.829
476754.627,5116426.2953
476754.2385,5116425.4689
476754.1571,5116425.2853
476754.1494,5116425.2597
476754.15,5116425.25
